time,Unnamed: 0,open,high,low,close,volume,returns,volatility,volume_sma20,volume_ratio,volume_class,accumulation,distribution,local_min,local_max,rsi,stoch_k,stoch_d,macd,adx,rsi_signal,stoch_signal,macd_signal,volume_signal,swing_signal,swing_strength
2024-10-21,98,64.59,65.07,64.4,64.49,1862336,-0.00154822727976478,0.010343967327824883,2966672.15,0.6277525475809654,Very Low,False,False,62.57,66.41,38.482003225311665,15.659340659340469,18.008866550654623,-0.0906089020040497,20.722807587565956,0,1,-1,0,0,Neutral
2024-10-22,99,64.49,64.97,64.4,64.49,2253327,0.0,0.010356051256516802,2975327.7,0.7573374186648415,Low,False,False,62.57,66.12,38.482003225311665,15.659340659340469,16.270717967845798,-0.058194549601796486,20.85797054292259,0,1,-1,0,0,Neutral
2024-10-23,100,64.49,64.78,64.4,64.49,1637360,0.0,0.010198665605300741,2830940.95,0.5783801318780598,Very Low,False,False,62.57,66.12,38.482003225311665,15.659340659340469,15.659340659340469,-0.028057759197238186,20.983479001468034,0,1,-1,0,0,Neutral
2024-10-24,101,64.49,66.12,64.49,65.55,4369950,0.01643665684602258,0.010261930242349964,2850066.75,1.5332798784449522,Very High,True,False,62.57,66.12,48.89893365821183,65.46184738955819,32.26017623607971,0.06678235207460892,19.928499509493825,0,0,1,1,2,Buy
2024-10-25,102,65.74,65.74,65.07,65.16,2172351,-0.00594965675057213,0.010208267337535267,2810112.0,0.7730478358157966,Normal,False,False,62.57,66.12,45.82440968983616,56.36363636363606,45.82827480417823,0.10451775298102861,18.948875695517774,0,0,1,0,1,Buy
2024-10-28,103,64.87,65.16,63.92,64.4,2927947,-0.011663597298956274,0.010149371762286509,2854171.7,1.0258482347085145,High,False,True,62.57,66.12,40.48268531018426,21.81818181818197,47.881221857125404,0.08063212294884226,18.59026918538275,0,0,1,-1,0,Neutral
2024-10-29,104,64.49,64.49,64.01,64.2,2033574,-0.0031055900621118626,0.010140040500299022,2853720.65,0.7126044379992135,Low,False,False,62.0,66.12,39.18807340561512,12.727272727272762,30.30303030303026,0.05492986353699547,18.257277425971655,0,0,1,0,1,Buy
2024-10-30,105,64.2,64.49,63.53,63.53,3437020,-0.010436137071651141,0.010287796305573305,2918448.05,1.1776875726809666,High,False,True,62.0,66.12,35.13453757685561,0.0,11.515151515151572,-0.0006831673311941122,18.46499519544542,0,1,-1,-1,-1,Sell
2024-10-31,106,63.82,63.82,62.57,63.34,5177693,-0.002990713048953264,0.010199666970326635,3029833.3,1.708903588854212,Very High,False,True,62.0,66.12,34.058640102056515,21.690140845070484,11.472471190781079,-0.041494327596982794,19.521279257843908,0,0,-1,-1,-2,Sell
2024-11-01,107,63.34,63.53,62.86,63.05,2182658,-0.004578465424692202,0.008717125842257166,2831934.15,0.7707304917383054,Low,False,False,62.0,66.12,32.4264700659663,13.521126760563275,11.737089201877914,-0.07717576608642118,20.502114458642502,0,1,-1,0,0,Neutral
2024-11-04,108,63.15,63.82,62.86,62.86,2121224,-0.003013481363996817,0.007573143191164018,2638236.35,0.8040310717423024,Normal,False,False,61.04,66.12,31.36590762511996,8.169014084507008,14.460093896713586,-0.10121384881555406,20.927662938069858,0,1,-1,0,0,Neutral
2024-11-05,109,62.96,63.25,62.77,62.77,1063141,-0.0014317531021316166,0.006366324256396847,2546881.4,0.41742854614274544,Very Low,False,False,60.56,66.12,30.851174797229092,5.633802816901482,9.10798122065725,-0.11008153248901609,21.410815541087576,0,1,-1,0,0,Neutral
2024-11-06,110,63.25,63.25,62.57,63.05,2598835,0.00446072964792088,0.006455647151660518,2500197.85,1.0394517377894712,High,False,False,60.37,66.12,34.4550004939496,13.521126760563275,9.107981220657251,-0.08511241161026284,22.05854652839917,0,1,-1,0,0,Neutral
2024-11-07,111,63.25,63.44,62.86,63.15,1154788,0.0015860428231562196,0.006491836416844498,2426678.4,0.47587187490522026,Very Low,False,False,60.27,66.12,35.74303015833782,16.338028169014017,11.830985915492922,-0.051537150826648226,22.306411627703756,0,1,-1,0,0,Neutral
